"PMID","PMCID","DOI","Publisher","Owned by","ISSN","Journal Impact Factor","Journal title","Hybrid or Pure OA?","Article title","Citations Google Scholar","Altmetric score","CC licence type","Is article Open Access?","Cost","Contributor","Notes"
23620154,"PMC3572711","10.1053/j.gastro.2012.09.016","Elsevier","AGA Institute","0016-5085",12.82,"Gastroenterology","Hybrid","Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas",3,,,"Yes ","238.08","Stuart Lewis","Only open in PMC, not publisher."
23901909,,"10.1057/9781137377029","Palgrave",,"1520-3204",,"Book",,"Fungal Disease in Britain and the United States 1850-2000",,,"CC-BY","Yes ","13,200.00",,"Book"
22908928,"PMC543219","10.1021/cb300326z","public.service.co.uk",,,,"Public Service Review",,"Laboratory Science in Tropical Medicine",,,,,"6,000.00",,
23834437,"PMC3490334","10.1021/cb400411x","Elsevier","Elsevier","1474-4422",,"Lancet Neurology","Hybrid","Genetic risk factors for ischaemic stroke and its subtypes (the METASTROKE Collaboration): a meta-analysis of genome-wide association studies",,,,,"5,760.00",,
24015914,"PMC3744751","10.1016/S0140-6736(13)60103-8","Elsevier","Elsevier","0099-5355",,"Lancet","Hybrid","Effects of relative weight gain and linear growth during early life on adult health and human capital in countries of low and middle income: findings from five birth cohort studies",,,,,"4,800.00",,
24454993,,"10.1021/ml400312j","Elsevier","Elsevier","0099-5355",,"Lancet","Hybrid","Global trends in antiretroviral resistance in treatment-naive individuals with HIV after rollout of antiretroviral treatment in resource-limited settings: a global collaborative study and meta-regression analysis",,,,,"4,800.00",,
23574576,"PMC3627205","10.1021/cn400047x","Elsevier","Elsevier","0099-5355",,"Lancet","Hybrid","Effects of unconditional and conditional cash transfers on child health and development in Zimbabwe: a cluster-randomised trial",,,,,"4,800.00",,
23373658,,"10.1021/nn304235j","Elsevier","Elsevier","0099-5355",,"Lancet","Hybrid","The impact on a serogroup a meningococcal conjugate vaccine (PsA-TT) on serogroup A menigococcal meningitis and carriage in Chad.",,,,,"4,554.01",,
23330847,"PMC3525981","10.1021/nn3042122","Elsevier","Elsevier","0099-5355",,"Lancet","Hybrid","Dementia incidence and mortality in middle income countries, and associations with indicators of cognitive reserve: a 10/66 Dementia Research Group cohort study",,,,,"4,320.00",,
22993091,"PMC3744750","doi:10.1016/S1474-4422(13)70146-7","Elsevier","Elsevier","1474-4422",,"Lancet Neurology","Hybrid","MRI investigation of the sensorimotor cortex and the corticospinal tract after acute spinal cord injury: a prospective longitudinal study",,,"Publisher copyright","Yes ","4,320.00","Rupert Gatti","Text accessible on publisher site - but marked Copyright © 2013 Elsevier Ltd. All rights reserved. Data tables as images only."
23385454,"PMC3601332","10.1107/S0907444912045374","Elsevier (Cell Press)","Elsevier","1931-3128",12.61,"Cell Host & Microbe",,"Human cytomegalovirus UL141 targets the TRAIL death receptors to inhibit host innate defenses",,,,,"4,226.04",,
23897484,,"10.1016/j.neuron.2010.04.037","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Distinct contributions of rod, cone, and melanopsin photoreceptors to encoding irradiance",85,0,"Publisher copyright","Yes ","4,170.35","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2010 Elsevier Ltd. All rights reserved."" Data tables as images only."
23151636,"PMC3650559","10.1107/S0907444912040590","Elsevier (Cell Press)","Elsevier","0092-8674",31.96,"Cell","Hybrid","Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding",,,,,"4,163.88",,
21543847,"PMC3629559","10.1107/S0907444911007888","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Calcium flashes orchestrate the wound inflammatory response through DUOX activation and hydrogen peroxide release.",,,,,"4,151.77",,
23519796,"PMC3594747","10.1107/S1744309113002352","Elsevier (Cell Press)","Elsevier","1097-2765",15.28,"Molecular Cell","Hybrid","Identification and Functional Characterization of FMN2, a Regulator of the Cyclin-Dependent Kinase Inhibitor p21",,,,,"4,148.39",,
23722836,,"10.1107/S174430911301292X","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","A fovea for pain at the fingertips",,,,,"4,112.54",,
22691792,"PMC3748348","10.1016/j.neuron.2013.03.029","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Attention induced variance and noise correclation reduction on macaque V1 is mediated by NMDA receptors",3,12,"Publisher copyright","Yes ","4,105.34","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2013 Elsevier Ltd. All rights reserved."" Data tables as images only."
23695107,"PMC3605578","10.2340/00015555-1625","Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Syndecan-4 phosphorylation is a control point for integrin recycling",,,,,"4,099.71",,
,"PMC3694306","10.1016/j.str.2013.02.007","Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","The architecture of EssB, an integral membrane component of the type VII secretion system",1,2,"Publisher copyright","Yes ","4,095.97","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2013 Elsevier Ltd. All rights reserved."" Data tables as images only."
23143228,"PMC3685808","10.1007/s00401-012-1058-5","Elsevier (Cell Press)","Elsevier","1550-4131",14.62,"Cell Metabolism",,"Improved insulin sensitivity despite increased visceral adiposity in mice deficient for the immune cell transcription factor T-bet",,,,,"4,084.51",,
23595275,"PMC3661981","10.1007/s00401-013-1112-y","Elsevier (Cell Press)","Elsevier","0960-9822",9.49,"Current Biology","Hybrid","Locomotion Controls Spatial Integration in Mouse Visual Cortex",,,,,"4,077.52",,
22961620,"PMC3659288","10.1007/s00401-012-1043-z","Elsevier (Cell Press)","Elsevier","1534-5807",14,"Developmental Cell","Hybrid","Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes",,,,,"4,076.38",,
,"PMC3664939",,"Elsevier (Cell Press)","Elsevier","0969-2126",5.99,"Structure","Hybrid","Structure of the Catalytic Region of DNA Ligase IV in Complex with an Artemis Fragment Sheds Light on Double-Strand Break Repair",,,,,"4,072.42",,
23452392,"PMC3664922","10.1111/aos.12077","Elsevier (Cell Press)","Elsevier","1074-7613",19.8,"Immunity",,"Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation",,,,,"4,069.66",,
21624095,"PMC3679449","10.1111/j.1748-1716.2011.02311.x","Elsevier (Cell Press)","Elsevier","1097-2765",15.28,"Molecular Cell","Hybrid","Kinetochores coordinate pericentromeric cohesion and early DNA replication by Cdc7-Dbf4 kinase recruitment.",,,,,"4,069.18",,
23734913,"PMC3661979","10.1111/add.12268","Elsevier (Cell Press)","Elsevier","0092-8674",31.96,"Cell","Hybrid","Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3",,,,,"4,041.05",,
,"PMC3580285","doi:10.1016/j.neuron.2012.09.035","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","the emergence and representation of knowledge about social and non-social hierarchies",10,33,"Publisher copyright","Yes ","4,012.03","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2012 Elsevier Ltd. All rights reserved."" Data tables as images only."
,"PMC3730058",,"Elsevier (Cell Press)","Elsevier","1534-5807",12.86,"Developmental Cell","Hybrid","Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis",,,,,"4,002.42",,
,,"10.1016/j.neuron.2013.07.012","Elsevier (Cell Press)","Elsevier","0896-6273",15.77,"Neuron","Hybrid","Nanoscale-targeted patch clamp recordings of functional presynaptic ion channels",3,99,"Publisher copyright","Yes ","3,997.71","Rupert Gatti","Text accessible on publisher site - but marked ""Copyright © 2013 Elsevier Ltd. All rights reserved."" Data tables as images only."
20146481,"PMC3778892","10.1021/jm901827x","Elsevier (Cell Press)","Elsevier","2211-1247",,"Cell Reports","Pure OA","c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis",,,,,"3,995.74",,
